"","Regioncode","Regiao","Profundidade"
"1",1,"Norte",92
"2",1,"Norte",90
"3",1,"Norte",70
"4",1,"Norte",60
"5",1,"Norte",60
"6",1,"Norte",102
"7",1,"Norte",97
"8",1,"Norte",98
"9",1,"Norte",78
"10",1,"Norte",78
"11",1,"Norte",78
"12",1,"Norte",78
"13",1,"Norte",90
"14",1,"Norte",60
"15",1,"Norte",60
"16",1,"Norte",100
"17",1,"Norte",70
"18",1,"Norte",92
"19",1,"Norte",92
"20",1,"Norte",92
"21",1,"Norte",100
"22",1,"Norte",90
"23",1,"Norte",90
"24",1,"Norte",10
