"","Regioncode","Regiao","CT"
"1",1,"Norte",35.6
"2",1,"Norte",34.8
"3",1,"Norte",33.1
"4",1,"Norte",21.5
"5",1,"Norte",37
"6",1,"Norte",27.1
"7",1,"Norte",32.1
"8",1,"Norte",27
"9",1,"Norte",26.2
"10",1,"Norte",24.5
"11",1,"Norte",31.1
"12",1,"Norte",30.5
"13",1,"Norte",28.5
"14",1,"Norte",34.7
"15",1,"Norte",35
"16",1,"Norte",28.4
"17",1,"Norte",20
"18",1,"Norte",36
